# /home/semlav/semLAV/results/data510viewsSemLAV.dat
# Query	"Answer Size"	"Wrapper Time (secs)"	"Graph Creation Time (secs)"	"Execution Time (secs)"	"Total Execution Time (secs)"	"Time First Answer"	"Answer Percentage"	"Views or Rewritings considered"	"Maximal Memory Used (triples)"	"Throughput (# answers/millisec)"	"Graph Union Size (in MB)"	"How many times was Q executed"
1	0	272302	19701	580433	606150	17188	0	76	909529	0.0	231	82
2	598635	3135970	211091	365413	603037	303744	100	349	5850915	0.9927002820722444	1335	91
3	223559	4524640	295303	225055	659820	550252	53	453	6330139	0.3388181625291746	1741	3951
4	287	3727982	233692	123918	365647	147704	100	374	5850916	7.849100361824382E-4	1335	463
5	564220	3353335	253141	242396	503815	144597	100	374	5850915	1.1198951996268471	1335	312
6	197112	3061467	176702	124536	304413	129525	100	136	3619079	0.6475150535621015	1110	192
7	227842	5480021	423002	245363	682139	167562	100	306	5408718	0.3340111033088564	1242	317
8	564220	3014169	201583	165321	374942	27988	100	136	4555604	1.5048194120690668	1015	334
9	28211	16782	929	964	2675	1295	100	34	169839	10.546168224299066	62	58
10	2993175	3290301	195297	348873	553069	9925	100	408	5850915	5.411937750985863	1335	542
11	2993175	435998	37106	86025	127286	6089	100	136	843892	23.515351256226136	189	549
12	598635	3543390	224290	99891	331421	15301	100	408	5850915	1.8062675569743618	1335	86
13	598635	3279378	225435	134496	365581	41150	100	408	5850915	1.637489366241681	1335	177
14	564220	3048423	197675	130933	332811	128196	100	272	5408718	1.6953165610511671	1242	688
15	282110	3134354	228601	228504	465381	8581	100	442	6330137	0.6061914861156773	1741	192
16	282110	2785754	182195	141979	327897	5065	100	136	3619079	0.8603616379533817	1110	185
17	197112	2772499	162463	82537	247437	3052	100	136	3619079	0.796614895912899	1110	159
18	564220	3479040	237382	268074	600000	259702	100	374	5850916	0.9403666666666667	1335	3726
